ob_id,asset,timeframe,direction,formation_bar_index,formation_timestamp,break_bar_index,break_type,structure_type,qe_top_price,qe_bottom_price,qe_width,qe_width_pct,qe_extreme_candle_idx,lux_top_price,lux_bottom_price,lux_width,lux_width_pct,lux_extreme_candle_idx,extreme_candle_matched,top_price_matched,bottom_price_matched,width_matched,mismatch_category
ETHUSD_1206_BULLISH_1186_1193,ETHUSD,1h,LONG,1186,2024-07-20T10:00:00+00:00,1193,BOS,internal,3490.3,3480.55,9.75,0.2801,1186,3490.3,3480.55,9.75,0.2801,1186,True,True,True,True,NO_MISMATCH
BTCUSD_1214_BEARISH_1201_1206,BTCUSD,1h,SHORT,1201,2024-07-21T01:00:00+00:00,1206,CHOCH,internal,67425.5,67026.5,399.0,0.5953,1201,67425.5,67026.5,399.0,0.5953,1201,True,True,True,True,NO_MISMATCH
ETHUSD_1214_BEARISH_1200_1206,ETHUSD,1h,SHORT,1200,2024-07-21T00:00:00+00:00,1206,CHOCH,internal,3529.7,3504.1,25.6,0.7306,1200,3529.7,3504.1,25.6,0.7306,1200,True,True,True,True,NO_MISMATCH
BTCUSD_1217_BULLISH_1189_1191,BTCUSD,1h,LONG,1189,2024-07-20T13:00:00+00:00,1191,BOS,internal,66649.5,66268.0,381.5,0.5757,1189,66649.5,66268.0,381.5,0.5757,1189,True,True,True,True,NO_MISMATCH
ETHUSD_1219_BEARISH_1216_1217,ETHUSD,1h,SHORT,1216,2024-07-21T16:00:00+00:00,1217,BOS,internal,3520.7,3487.0,33.7,0.9664,1216,3520.7,3487.0,33.7,0.9664,1216,True,True,True,True,NO_MISMATCH
XRPUSD_1226_BEARISH_1205_1208,XRPUSD,1h,SHORT,1205,2024-07-21T05:00:00+00:00,1208,CHOCH,internal,0.6082,0.5958,0.0124,2.0812,1205,0.6082,0.5958,0.0124,2.0812,1205,True,True,True,True,NO_MISMATCH
ETHUSD_1230_BULLISH_1219_1222,ETHUSD,1h,LONG,1219,2024-07-21T19:00:00+00:00,1222,CHOCH,internal,3497.75,3459.5,38.25,1.1057,1219,3497.75,3459.5,38.25,1.1057,1219,True,True,True,True,NO_MISMATCH
ETHUSD_1243_BEARISH_1236_1238,ETHUSD,1h,SHORT,1236,2024-07-22T12:00:00+00:00,1238,CHOCH,internal,3507.65,3492.0,15.65,0.4482,1236,3507.65,3492.0,15.65,0.4482,1236,True,True,True,True,NO_MISMATCH
XRPUSD_1243_BULLISH_1237_1242,XRPUSD,1h,LONG,1237,2024-07-22T13:00:00+00:00,1242,BOS,internal,0.6183,0.6051,0.0132,2.1815,1237,0.6183,0.6051,0.0132,2.1815,1237,True,True,True,True,NO_MISMATCH
ETHUSD_1261_BULLISH_1253_1256,ETHUSD,1h,LONG,1253,2024-07-23T05:00:00+00:00,1256,CHOCH,internal,3460.0,3425.15,34.85,1.0175,1253,3460.0,3425.15,34.85,1.0175,1253,True,True,True,True,NO_MISMATCH
XRPUSD_1261_BULLISH_1230_1235,XRPUSD,1h,LONG,1230,2024-07-22T06:00:00+00:00,1235,CHOCH,internal,0.5944,0.5854,0.009,1.5374,1230,0.5944,0.5854,0.009,1.5374,1230,True,True,True,True,NO_MISMATCH
ETHUSD_1264_BULLISH_1144_1171,ETHUSD,1h,LONG,1144,2024-07-18T16:00:00+00:00,1171,BOS,internal,3420.75,3367.25,53.5,1.5888,1144,3420.75,3367.25,53.5,1.5888,1144,True,True,True,True,NO_MISMATCH
SOLUSD_1283_BEARISH_1258_1264,SOLUSD,1h,SHORT,1258,2024-07-23T10:00:00+00:00,1264,BOS,internal,178.706,177.265,1.441,0.8129,1258,178.706,177.265,1.441,0.8129,1258,True,True,True,True,NO_MISMATCH
BTCUSD_1290_BULLISH_1274_1280,BTCUSD,1h,LONG,1274,2024-07-24T02:00:00+00:00,1280,CHOCH,internal,65939.0,65486.0,453.0,0.6918,1274,65939.0,65486.0,453.0,0.6918,1274,True,True,True,True,NO_MISMATCH
BTCUSD_1338_BEARISH_1243_1253,BTCUSD,1h,SHORT,1243,2024-07-22T19:00:00+00:00,1253,CHOCH,internal,68250.0,67368.5,881.5,1.3085,1243,68250.0,67368.5,881.5,1.3085,1243,True,True,True,True,NO_MISMATCH
ETHUSD_1344_BULLISH_1334_1342,ETHUSD,1h,LONG,1334,2024-07-26T14:00:00+00:00,1342,BOS,internal,3271.4,3220.45,50.95,1.5821,1334,3271.4,3220.45,50.95,1.5821,1334,True,True,True,True,NO_MISMATCH
BTCUSD_1354_BULLISH_1341_1353,BTCUSD,1h,LONG,1341,2024-07-26T21:00:00+00:00,1353,BOS,internal,68223.5,67427.0,796.5,1.1813,1341,68223.5,67427.0,796.5,1.1813,1341,True,True,True,True,NO_MISMATCH
SOLUSD_1359_BULLISH_1334_1350,SOLUSD,1h,LONG,1334,2024-07-26T14:00:00+00:00,1350,BOS,internal,183.09,179.166,3.924,2.1901,1334,183.09,179.166,3.924,2.1901,1334,True,True,True,True,NO_MISMATCH
ETHUSD_1362_BULLISH_1347_1356,ETHUSD,1h,LONG,1347,2024-07-27T03:00:00+00:00,1356,BOS,internal,3260.6,3243.15,17.45,0.5381,1347,3260.6,3243.15,17.45,0.5381,1347,True,True,True,True,NO_MISMATCH
XRPUSD_1373_BEARISH_1357_1362,XRPUSD,1h,SHORT,1357,2024-07-27T13:00:00+00:00,1362,CHOCH,internal,0.6094,0.6017,0.0077,1.2797,1357,0.6094,0.6017,0.0077,1.2797,1357,True,True,True,True,NO_MISMATCH
BTCUSD_1402_BEARISH_279_328,BTCUSD,1h,SHORT,279,2024-06-12T15:00:00+00:00,328,BOS,internal,70024.0,69573.0,451.0,0.6482,279,70024.0,69573.0,451.0,0.6482,279,True,True,True,True,NO_MISMATCH
SOLUSD_1413_BULLISH_1390_1392,SOLUSD,1h,LONG,1390,2024-07-28T22:00:00+00:00,1392,BOS,internal,184.245,182.603,1.642,0.8992,1390,184.245,182.603,1.642,0.8992,1390,True,True,True,True,NO_MISMATCH
BTCUSD_1429_BULLISH_1418_1423,BTCUSD,1h,LONG,1418,2024-07-30T02:00:00+00:00,1423,CHOCH,internal,66469.0,65940.5,528.5,0.8015,1418,66469.0,65940.5,528.5,0.8015,1418,True,True,True,True,NO_MISMATCH
