trade_number,datetime,exit_datetime,asset,direction,ob_id,ob_high,ob_low,ob_width,ob_width_pct,entry,sl,tp,sl_distance,tp_distance,tp_price_move_pct,planned_rr,leverage,starting_capital_35pct,notional_size_35pct,margin_used_35pct,risk_amount_35pct,gross_pnl_35pct,fees_35pct,net_pnl_35pct,ending_capital_35pct,starting_capital_10pct,net_pnl_10pct,ending_capital_10pct,starting_capital_1pct,net_pnl_1pct,ending_capital_1pct,outcome,r_multiple,holding_time_hours,exit_reason,global_trade_lock_state,ambiguity_status
522,2025-08-10T07:00:00+00:00,2025-08-10T17:00:00+00:00,ETHUSD,LONG,ETHUSD_10447_BULLISH_10430_10435,4198.05,4153.65,44.4,1.0609,4186.95,4153.65,4216.2586,33.3,29.3086,0.7,0.8801,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6029,0.0053,0.6082,TP_HIT,0.8801,10,TP_HIT,ACTIVE,UNAMBIGUOUS
523,2025-08-11T02:00:00+00:00,2025-08-11T05:00:00+00:00,XRPUSD,SHORT,XRPUSD_10466_BEARISH_10444_10447,3.2779,3.2494,0.0285,0.8734,3.2565,3.2779,3.2337,0.0214,0.0228,0.7,1.0665,53,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6082,-0.0061,0.6021,SL_HIT,-1.0,3,SL_HIT,ACTIVE,UNAMBIGUOUS
524,2025-08-11T21:00:00+00:00,2025-08-12T13:00:00+00:00,BTCUSD,LONG,BTCUSD_10485_BULLISH_10460_10463,118748.5,118040.0,708.5,0.597,118571.375,118040.0,119401.3746,531.375,829.9996,0.7,1.562,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6021,0.0094,0.6116,TP_HIT,1.562,16,TP_HIT,ACTIVE,UNAMBIGUOUS
525,2025-08-13T10:00:00+00:00,2025-08-13T13:00:00+00:00,XRPUSD,SHORT,XRPUSD_10522_BEARISH_10473_10483,3.3204,3.2703,0.0501,1.522,3.2828,3.3204,3.2598,0.0376,0.023,0.7,0.6116,30,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6116,-0.0061,0.6054,SL_HIT,-1.0,3,SL_HIT,ACTIVE,UNAMBIGUOUS
526,2025-08-14T06:00:00+00:00,2025-08-14T08:00:00+00:00,XRPUSD,LONG,XRPUSD_10542_BULLISH_10527_10538,3.2688,3.226,0.0428,1.3102,3.2581,3.226,3.2809,0.0321,0.0228,0.7,0.7105,35,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6054,-0.0061,0.5994,SL_HIT,-1.0,2,SL_HIT,ACTIVE,UNAMBIGUOUS
527,2025-08-16T21:00:00+00:00,2025-08-17T04:00:00+00:00,ETHUSD,LONG,ETHUSD_10605_BULLISH_10597_10604,4427.6,4382.95,44.65,1.0131,4416.4375,4382.95,4447.3526,33.4875,30.9151,0.7,0.9232,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5994,0.0055,0.6049,TP_HIT,0.9232,7,TP_HIT,ACTIVE,UNAMBIGUOUS
528,2025-08-17T23:00:00+00:00,2025-08-18T00:00:00+00:00,BTCUSD,LONG,BTCUSD_10631_BULLISH_10609_10612,117462.0,117133.0,329.0,0.2803,117379.75,117133.0,118201.4082,246.75,821.6582,0.7,3.3299,100,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6049,-0.006,0.5989,SL_HIT,-1.0,1,SL_HIT,ACTIVE,UNAMBIGUOUS
529,2025-08-20T00:00:00+00:00,2025-08-20T01:00:00+00:00,BTCUSD,LONG,BTCUSD_10680_BULLISH_10335_10378,113203.5,112640.0,563.5,0.4979,113062.625,112640.0,113854.0634,422.625,791.4384,0.7,1.8727,93,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.5989,-0.006,0.5929,SL_HIT,-1.0,1,SL_HIT,ACTIVE,UNAMBIGUOUS
530,2025-08-20T02:00:00+00:00,2025-08-20T14:00:00+00:00,SOLUSD,SHORT,SOLUSD_10682_BEARISH_10669_10672,183.411,180.606,2.805,1.5519,181.3073,183.411,180.0381,2.1037,1.2692,0.7,0.6033,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5929,0.0036,0.5965,TP_HIT,0.6033,12,TP_HIT,ACTIVE,UNAMBIGUOUS
531,2025-08-20T14:00:00+00:00,2025-08-20T15:00:00+00:00,XRPUSD,SHORT,XRPUSD_10694_BEARISH_10688_10693,2.913,2.8623,0.0507,1.7558,2.875,2.913,2.8549,0.038,0.0201,0.7,0.5293,26,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.5965,-0.006,0.5905,SL_HIT,-1.0,1,SL_HIT,ACTIVE,UNAMBIGUOUS
