ob_id,asset,direction,decision_timestamp,decision_bar_idx,ob_top,ob_bottom,ob_width,r_ctrl_a_quantedge_current,r_ctrl_b_proximal_edge,r_ctrl_c_midpoint_50,r_ctrl_d_deep_75,r_ctrl_e_swing_liquidity_tp,r_ctrl_f_atr_buffered_sl,r_ctrl_g_optimistic_exec,mfe_r,mae_r,holding_bars,is_ambiguous_same_bar_touch,first_touch_occurred
ETHUSD_1119_BULLISH_1102_1108,ETHUSD,LONG,2024-07-17T15:00:00+00:00,1119,3439.7,3414.85,24.84999999999991,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.330651,3.028169,1,False,True
ETHUSD_1129_BEARISH_1124_1127,ETHUSD,SHORT,2024-07-18T01:00:00+00:00,1129,3428.9,3413.15,15.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.196825,1.765079,1,False,True
XRPUSD_1135_BULLISH_1103_1108,XRPUSD,LONG,2024-07-18T07:00:00+00:00,1135,0.5793,0.5737,0.005600000000000049,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.547619,2.357143,1,False,True
SOLUSD_1155_BEARISH_1113_1119,SOLUSD,SHORT,2024-07-19T03:00:00+00:00,1155,163.603,161.626,1.9770000000000039,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.947732,2.327264,3,False,True
ETHUSD_1159_BULLISH_1153_1158,ETHUSD,LONG,2024-07-19T07:00:00+00:00,1159,3415.4,3384.25,31.15000000000009,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.297485,1,False,True
XRPUSD_1168_BEARISH_1139_1143,XRPUSD,SHORT,2024-07-19T16:00:00+00:00,1168,0.5838,0.575,0.00880000000000003,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.636364,1.333333,1,False,True
SOLUSD_1176_BEARISH_156_160,SOLUSD,SHORT,2024-07-20T00:00:00+00:00,1176,172.754,169.3945,3.359499999999997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.161433,1.708836,17,False,True
SOLUSD_1193_BEARISH_112_162,SOLUSD,SHORT,2024-07-20T17:00:00+00:00,1193,175.634,173.962,1.671999999999997,1.7145,1.7143,0.0,0.0,-0.2,1.4286,1.7145,1.749601,0.175439,2,False,True
ETHUSD_1199_BEARISH_500_548,ETHUSD,SHORT,2024-07-20T23:00:00+00:00,1199,3548.0,3518.15,29.84999999999991,1.7145,1.7143,0.0,0.0,-0.2,1.4286,1.7145,1.867672,0.18258,7,False,True
XRPUSD_1205_BULLISH_1193_1204,XRPUSD,LONG,2024-07-21T05:00:00+00:00,1205,0.5978,0.5884,0.009399999999999964,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,0.163121,1.156028,3,False,True
ETHUSD_1206_BULLISH_1186_1193,ETHUSD,LONG,2024-07-21T06:00:00+00:00,1206,3490.3,3480.55,9.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.369231,1,False,True
BTCUSD_1214_BEARISH_1201_1206,BTCUSD,SHORT,2024-07-21T14:00:00+00:00,1214,67425.5,67026.5,399.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,0.14411,1.190476,1,False,True
ETHUSD_1214_BEARISH_1200_1206,ETHUSD,SHORT,2024-07-21T14:00:00+00:00,1214,3529.7,3504.1,25.59999999999991,1.7141,1.7143,4.428,9.856,2.5,1.4286,1.7141,3.122396,0.796875,3,False,True
BTCUSD_1217_BULLISH_1189_1191,BTCUSD,LONG,2024-07-21T17:00:00+00:00,1217,66649.5,66268.0,381.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.7143,1.823067,2.272608,1,True,True
ETHUSD_1219_BEARISH_1216_1217,ETHUSD,SHORT,2024-07-21T19:00:00+00:00,1219,3520.7,3487.0,33.69999999999982,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,0.499505,1.124629,1,False,True
XRPUSD_1226_BEARISH_1205_1208,XRPUSD,SHORT,2024-07-22T02:00:00+00:00,1226,0.6082,0.5958,0.012399999999999967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.451613,1.602151,9,False,True
ETHUSD_1230_BULLISH_1219_1222,ETHUSD,LONG,2024-07-22T06:00:00+00:00,1230,3497.75,3459.5,38.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.678431,1.533333,8,False,True
ETHUSD_1243_BEARISH_1236_1238,ETHUSD,SHORT,2024-07-22T19:00:00+00:00,1243,3507.65,3492.0,15.650000000000091,1.7144,1.7143,4.428,0.0,2.5,1.4286,1.7144,2.814696,0.514377,2,False,True
XRPUSD_1243_BULLISH_1237_1242,XRPUSD,LONG,2024-07-22T19:00:00+00:00,1243,0.6183,0.6051,0.01319999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.606061,1.525253,4,False,True
ETHUSD_1261_BULLISH_1253_1256,ETHUSD,LONG,2024-07-23T13:00:00+00:00,1261,3460.0,3425.15,34.84999999999991,1.7141,1.7143,0.0,0.0,-0.2,1.4286,1.7141,1.754663,0.477762,1,False,True
XRPUSD_1261_BULLISH_1230_1235,XRPUSD,LONG,2024-07-23T13:00:00+00:00,1261,0.5944,0.5854,0.009000000000000008,1.163,1.5741,0.0,0.0,-0.2,-0.5,1.163,1.651852,0.155556,1,False,True
ETHUSD_1264_BULLISH_1144_1171,ETHUSD,LONG,2024-07-23T16:00:00+00:00,1264,3420.75,3367.25,53.5,1.7143,1.7143,0.0,0.0,-0.2,1.4286,1.7143,2.227414,0.449221,3,False,True
SOLUSD_1283_BEARISH_1258_1264,SOLUSD,SHORT,2024-07-24T11:00:00+00:00,1283,178.706,177.265,1.4410000000000025,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.286375,1.290539,2,False,True
BTCUSD_1290_BULLISH_1274_1280,BTCUSD,LONG,2024-07-24T18:00:00+00:00,1290,65939.0,65486.0,453.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.844003,2.058131,3,False,True
BTCUSD_1338_BEARISH_1243_1253,BTCUSD,SHORT,2024-07-26T18:00:00+00:00,1338,68250.0,67368.5,881.5,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,0.285687,1.080923,13,False,True
ETHUSD_1344_BULLISH_1334_1342,ETHUSD,LONG,2024-07-27T00:00:00+00:00,1344,3271.4,3220.45,50.95000000000027,1.7143,1.7143,0.0,0.0,-0.2,1.4286,1.7143,1.830226,0.405954,13,False,True
BTCUSD_1354_BULLISH_1341_1353,BTCUSD,LONG,2024-07-27T10:00:00+00:00,1354,68223.5,67427.0,796.5,1.7143,1.7143,0.0,0.0,-0.2,1.4286,1.7143,2.294413,0.016531,3,False,True
SOLUSD_1359_BULLISH_1334_1350,SOLUSD,LONG,2024-07-27T15:00:00+00:00,1359,183.09,179.166,3.9240000000000066,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.444444,1.33945,5,False,True
ETHUSD_1362_BULLISH_1347_1356,ETHUSD,LONG,2024-07-27T18:00:00+00:00,1362,3260.6,3243.15,17.449999999999818,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.137536,1.868195,1,False,True
XRPUSD_1373_BEARISH_1357_1362,XRPUSD,SHORT,2024-07-28T05:00:00+00:00,1373,0.6094,0.6017,0.00770000000000004,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,0.662338,1.034632,3,False,True
BTCUSD_1402_BEARISH_279_328,BTCUSD,SHORT,2024-07-29T10:00:00+00:00,1402,70024.0,69573.0,451.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.752402,1.205469,3,False,True
SOLUSD_1413_BULLISH_1390_1392,SOLUSD,LONG,2024-07-29T21:00:00+00:00,1413,184.245,182.603,1.641999999999996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.101502,1.867235,2,False,True
BTCUSD_1429_BULLISH_1418_1423,BTCUSD,LONG,2024-07-30T13:00:00+00:00,1429,66469.0,65940.5,528.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.296752,1.742983,1,False,True
