asset,direction,setup_time,setup_time_ist,first_touch_time,first_touch_time_ist,bars_from_touch_to_old_entry,old_entry_time,old_entry_time_ist,old_exit_time,old_exit_time_ist,entry_price,sl_price,tp_price,leverage,old_outcome,old_realized_r,old_net_pnl,removal_reason,capital_impact_type
BTCUSD,LONG,2025-06-04 20:00:00+00:00,2025-06-05 01:30:00 IST,2025-06-04 21:00:00+00:00,2025-06-05 02:30:00 IST,9,2025-06-05 06:00:00+00:00,2025-06-05 11:30:00 IST,2025-06-05 12:00:00+00:00,2025-06-05 17:30:00 IST,104391.625,103627.0,105017.9747,47.78,FILLED_TP,0.8192,2.815557603704447e-31,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,SHORT,2025-06-06 17:00:00+00:00,2025-06-06 22:30:00 IST,2025-06-06 18:00:00+00:00,2025-06-06 23:30:00 IST,12,2025-06-07 06:00:00+00:00,2025-06-07 11:30:00 IST,2025-06-07 13:00:00+00:00,2025-06-07 18:30:00 IST,104995.375,105748.0,104365.4027,48.83,FILLED_SL,-1.0,-7.129514017496242e-31,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
BTCUSD,SHORT,2025-06-08 01:00:00+00:00,2025-06-08 06:30:00 IST,2025-06-08 02:00:00+00:00,2025-06-08 07:30:00 IST,10,2025-06-08 12:00:00+00:00,2025-06-08 17:30:00 IST,2025-06-08 13:00:00+00:00,2025-06-08 18:30:00 IST,105703.875,105975.0,105069.6518,100.0,FILLED_SL,-1.0,-5.726128291586249e-31,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
BTCUSD,SHORT,2025-06-10 02:00:00+00:00,2025-06-10 07:30:00 IST,2025-06-10 03:00:00+00:00,2025-06-10 08:30:00 IST,10,2025-06-10 13:00:00+00:00,2025-06-10 18:30:00 IST,2025-06-10 13:00:00+00:00,2025-06-10 18:30:00 IST,109824.875,110690.0,109165.9257,44.43,FILLED_TP,0.7617,3.954112015103382e-31,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,LONG,2025-06-14 20:00:00+00:00,2025-06-15 01:30:00 IST,2025-06-14 21:00:00+00:00,2025-06-15 02:30:00 IST,23,2025-06-15 20:00:00+00:00,2025-06-16 01:30:00 IST,2025-06-15 23:00:00+00:00,2025-06-16 04:30:00 IST,104753.75,104079.5,105382.2725,54.38,FILLED_TP,0.9322,8.72327557038276e-32,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
XRPUSD,SHORT,2025-06-28 06:00:00+00:00,2025-06-28 11:30:00 IST,2025-06-28 07:00:00+00:00,2025-06-28 12:30:00 IST,5,2025-06-28 12:00:00+00:00,2025-06-28 17:30:00 IST,2025-06-28 13:00:00+00:00,2025-06-28 18:30:00 IST,2.1966,2.2125,2.1834,48.35,FILLED_TP,0.8289,2.559213541508259e-34,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,LONG,2025-06-28 13:00:00+00:00,2025-06-28 18:30:00 IST,2025-06-28 14:00:00+00:00,2025-06-28 19:30:00 IST,48,2025-06-30 14:00:00+00:00,2025-06-30 19:30:00 IST,2025-06-30 14:00:00+00:00,2025-06-30 19:30:00 IST,107017.0,106777.0,107659.102,100.0,FILLED_SL,-1.0,-3.875602654200534e-34,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
ETHUSD,SHORT,2025-07-13 07:00:00+00:00,2025-07-13 12:30:00 IST,2025-07-13 08:00:00+00:00,2025-07-13 13:30:00 IST,3,2025-07-13 11:00:00+00:00,2025-07-13 16:30:00 IST,2025-07-13 12:00:00+00:00,2025-07-13 17:30:00 IST,2965.25,2979.35,2947.4585,73.61,FILLED_SL,-1.0,-4.1444255967636696e-34,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
XRPUSD,SHORT,2025-08-10 04:00:00+00:00,2025-08-10 09:30:00 IST,2025-08-10 05:00:00+00:00,2025-08-10 10:30:00 IST,23,2025-08-11 04:00:00+00:00,2025-08-11 09:30:00 IST,2025-08-11 07:00:00+00:00,2025-08-11 12:30:00 IST,3.2739,3.2972,3.2542,49.13,FILLED_TP,0.8422,1.2958785381864977e-36,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
XRPUSD,LONG,2025-08-18 13:00:00+00:00,2025-08-18 18:30:00 IST,2025-08-18 14:00:00+00:00,2025-08-18 19:30:00 IST,24,2025-08-19 14:00:00+00:00,2025-08-19 19:30:00 IST,2025-08-19 14:00:00+00:00,2025-08-19 19:30:00 IST,2.9516,2.905,2.9694,22.15,FILLED_TP,0.3796,3.529127163754554e-37,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
